,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,ft,ti_transp_flux_cov,weight,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,te_transp_flux,te_transp_flux_std,te_transp_flux_stem,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,te_transp_flux_acn,ft,te_transp_flux_cov,weight
0,0,,,1761.8857176529864,1091.3174147924924,-3682.698962561785,-4571.471074284643,274940.93437610765,9617.421084083211,1466.6429656093387,43.0,0.0,0.03497995344311656,0.09525986892242039,0,,,1761.8857176529864,1091.3174147924924,-3682.698962561785,-4571.471074284643,261228.58392429244,10312.842542343482,2306.0216965931777,274940.93437610765,9617.421084083211,1466.6429656093387,43.0,20.0,0.0,0.03947823162159116,0.09525986892242039
1,1,,,1761.8857176529864,1091.3174147924924,-3682.698962561785,-3295.232871114479,68258.07696719888,6254.45561805467,1333.4544181836277,22.0,0.0,0.09162953156532992,0.1524157902758726,1,,,1761.8857176529864,1091.3174147924924,-3682.698962561785,-3295.232871114479,200872.1147648392,18000.167186326737,3837.648538645613,68258.07696719888,6254.45561805467,1333.4544181836277,22.0,22.0,0.0,0.08961008454259325,0.1524157902758726
2,2,,,1761.8857176529864,1091.3174147924924,-3682.698962561785,-2018.9946679443167,46947.61300809647,14478.58777902377,2261.17552028454,41.0,0.0,0.308398805633139,0.09525986892242039,2,,,1761.8857176529864,1091.3174147924924,-3682.698962561785,-2018.9946679443167,171958.93330961003,40574.342913482455,6415.366908565838,46947.61300809647,14478.58777902377,2261.17552028454,41.0,40.0,0.0,0.2359536787799726,0.09525986892242039
3,3,,,1761.8857176529864,1091.3174147924924,-2654.5832793553805,-4571.471074284643,208057.10392345712,9318.87188741272,1902.206758543998,24.0,0.0,0.04478997213592416,0.1524157902758726,3,,,1761.8857176529864,1091.3174147924924,-2654.5832793553805,-4571.471074284643,107321.93104320692,7597.938923281529,1490.078416649949,208057.10392345712,9318.87188741272,1902.206758543998,24.0,26.0,0.0,0.07079577165102129,0.1524157902758726
4,4,,,1761.8857176529864,1091.3174147924924,-2654.5832793553805,-3295.232871114479,52653.02267739133,10908.096064509138,2439.1244305340365,20.0,0.0,0.2071694180093665,0.2438652644413961,4,,,1761.8857176529864,1091.3174147924924,-2654.5832793553805,-3295.232871114479,116505.6334941166,20028.43450152798,4478.494102831867,52653.02267739133,10908.096064509138,2439.1244305340365,20.0,20.0,0.0,0.1719095798276518,0.2438652644413961
5,5,,,1761.8857176529864,1091.3174147924924,-2654.5832793553805,-2018.9946679443167,60103.909776582695,16222.658326936053,2703.776387822676,36.0,0.0,0.26991020030541546,0.1524157902758726,5,,,1761.8857176529864,1091.3174147924924,-2654.5832793553805,-2018.9946679443167,132591.03782461656,37590.58859966739,6179.854697997628,60103.909776582695,16222.658326936053,2703.776387822676,36.0,37.0,0.0,0.2835077635442446,0.1524157902758726
6,6,,,1761.8857176529864,1091.3174147924924,-1626.4675961489745,-4571.471074284643,255377.76181374936,15067.147138149452,2511.191189691576,36.0,0.0,0.05899944862520229,0.09525986892242039,6,,,1761.8857176529864,1091.3174147924924,-1626.4675961489745,-4571.471074284643,98467.50344558898,7313.286173623352,1236.1709851370017,255377.76181374936,15067.147138149452,2511.191189691576,36.0,35.0,0.0,0.07427106322102008,0.09525986892242039
7,7,,,1761.8857176529864,1091.3174147924924,-1626.4675961489745,-3295.232871114479,11909.76733656668,3128.24679667128,488.5500703521352,41.0,0.0,0.26266229291201953,0.1524157902758726,7,,,1761.8857176529864,1091.3174147924924,-1626.4675961489745,-3295.232871114479,12609.075988178782,4357.245988582712,688.9410824776697,11909.76733656668,3128.24679667128,488.5500703521352,41.0,40.0,0.0,0.34556425805250934,0.1524157902758726
8,8,,,1761.8857176529864,1091.3174147924924,-1626.4675961489745,-2018.9946679443167,11831.770573231648,3447.083756122044,519.6674290902627,44.0,0.0,0.29134132839938354,0.09525986892242039,8,,,1761.8857176529864,1091.3174147924924,-1626.4675961489745,-2018.9946679443167,17942.27740727074,5583.830462088809,841.7941152593361,11831.770573231648,3447.083756122044,519.6674290902627,44.0,44.0,0.0,0.3112107975672072,0.09525986892242039
9,9,,,1761.8857176529864,1781.1562730402793,-3682.698962561785,-4571.471074284643,145151.59890100211,41484.81495280705,7012.213572798012,35.0,0.0,0.2858033619119895,0.1524157902758726,9,,,1761.8857176529864,1781.1562730402793,-3682.698962561785,-4571.471074284643,305832.8657371253,70366.3504142783,12249.209338274815,145151.59890100211,41484.81495280705,7012.213572798012,35.0,33.0,0.0,0.23008106157812613,0.1524157902758726
