time                     Te-source-int-ft1        Te-source-int-ft2        Te-source-int-ft3        Te-source-int-ft4        Te-source-int-ft5        Te-source-int-ft6        Te-source-int-ft7        Te-source-int-ft8        Ti-source-int-ft1        Ti-source-int-ft2        Ti-source-int-ft3        Ti-source-int-ft4        Ti-source-int-ft5        Ti-source-int-ft6        Ti-source-int-ft7        Ti-source-int-ft8        dvdrho1                  dvdrho2                  dvdrho3                  dvdrho4                  dvdrho5                  dvdrho6                  dvdrho7                  dvdrho8                  surfaceA1                surfaceA2                surfaceA3                surfaceA4                surfaceA5                surfaceA6                surfaceA7                surfaceA8                gm7-ft1                  gm7-ft2                  gm7-ft3                  gm7-ft4                  gm7-ft5                  gm7-ft6                  gm7-ft7                  gm7-ft8
1.004999999999999893e+00 1.343842692212146358e+05 5.717929439938123105e+05 1.045592653790661949e+06 1.484126602546775946e+06 1.873140374385169707e+06 2.236044649663075805e+06 2.639981921590347309e+06 3.153085224017054308e+06 1.446004971715864958e+05 6.177406952785737813e+05 1.135297193484364543e+06 1.618442515253130114e+06 2.045386105709030759e+06 2.428489595922328532e+06 2.815029837941385806e+06 3.239382717410889454e+06 6.636756170107810604e+00 1.400649823418860151e+01 1.947012178255695147e+01 2.386738631414980460e+01 2.748537608831350809e+01 3.044838666321971132e+01 3.271260642966355903e+01 3.439221787627316473e+01 6.773381724522320013e+00 1.450376964489067433e+01 2.053835978533602002e+01 2.572304519837103598e+01 3.035978439805617768e+01 3.464993059597640013e+01 3.878003825956028550e+01 4.283841805936680913e+01 1.020585242152042715e+00 1.035505615453833350e+00 1.054860111936044786e+00 1.077747465757193268e+00 1.104601982249894920e+00 1.137916124449566357e+00 1.185379809681709862e+00 1.246386661182881994e+00
1.014999999999999902e+00 1.293622062864530599e+05 5.540867302467639092e+05 1.019851422237860737e+06 1.450458967268984299e+06 1.810465401747836964e+06 2.065229122798609082e+06 2.086687552016794449e+06 1.737898862600384979e+06 1.361559210092007415e+05 5.840225612215129659e+05 1.077142597158212913e+06 1.534842082055364503e+06 1.917322331414252752e+06 2.181728332435263786e+06 2.165103304628979880e+06 1.563334839614410419e+06 7.796499859300513258e+00 1.631334806532602499e+01 2.251217319998311339e+01 2.718582427143098457e+01 3.059783052944425563e+01 3.297372150362260612e+01 3.470241788480149125e+01 3.604764527666319651e+01 8.156506036732217524e+00 1.732348683804966427e+01 2.441304340250841420e+01 3.017277314145502842e+01 3.476894142224840323e+01 3.834228574343919860e+01 4.119845173620031886e+01 4.374977796011774700e+01 1.046167871783153736e+00 1.061924021189203815e+00 1.084430205274220960e+00 1.109870618702668565e+00 1.136305621761433349e+00 1.162818076954245772e+00 1.187161690219039611e+00 1.214338158345911189e+00
1.024999999999999911e+00 1.288073752015445789e+05 5.496102344905731734e+05 1.005760381009652396e+06 1.422219275221064920e+06 1.776199221060933545e+06 2.081810011742237955e+06 2.384470407514991239e+06 2.727037281856637914e+06 1.331208653734604013e+05 5.683795874693845399e+05 1.041137418216723250e+06 1.473262267544991802e+06 1.838874945299627725e+06 2.147242632086095400e+06 2.433833255113177933e+06 2.694556890828674659e+06 7.779963472414435088e+00 1.627852389208176120e+01 2.247715603574576804e+01 2.718765379162143958e+01 3.068262439738293423e+01 3.315651361598033020e+01 3.487630225075356094e+01 3.608510048544889770e+01 8.141177438470160510e+00 1.729072142450320015e+01 2.436948275291251065e+01 3.012527985836848288e+01 3.472562611439187918e+01 3.830886158979124900e+01 4.117342714494277089e+01 4.372406755236763587e+01 1.046421189574907595e+00 1.062182875830014250e+00 1.084181989313291350e+00 1.108049303111237505e+00 1.131755865652365856e+00 1.155382889143741654e+00 1.180522452237827036e+00 1.212285021909925709e+00
1.034999999999999920e+00 1.285231368262026226e+05 5.496307375135830371e+05 1.010670132171579753e+06 1.439140745151548414e+06 1.807114930289146723e+06 2.097915933106409386e+06 2.287370916912104934e+06 2.416013800062044524e+06 1.310646187489246804e+05 5.603691717593978392e+05 1.030010838209656649e+06 1.465019306479811436e+06 1.834347290218223585e+06 2.114373306791970506e+06 2.257580384803057648e+06 2.192818249032063875e+06 7.783718766789235133e+00 1.629460435218108216e+01 2.250659765138754054e+01 2.720969439155498293e+01 3.065725776892529097e+01 3.308939388285438810e+01 3.480828485865485789e+01 3.608359876036097091e+01 8.140992934650993718e+00 1.729119746247724976e+01 2.437092876386154572e+01 3.012544056216525590e+01 3.472034647550803044e+01 3.829661970186052145e+01 4.115713572587132063e+01 4.370608008060567329e+01 1.045892553832154848e+00 1.061163659546349169e+00 1.082827996556740446e+00 1.107157366652178565e+00 1.132524208476449079e+00 1.157359503117752375e+00 1.182365771292874124e+00 1.211777373881911979e+00
1.044999999999999929e+00 1.290369926565446949e+05 5.518787426987766521e+05 1.012662997643834329e+06 1.434949767292795703e+06 1.791578906329981750e+06 2.088371301128515042e+06 2.358896563360893633e+06 2.654098777086763643e+06 1.303916133534625405e+05 5.573024049715044675e+05 1.021559404729236383e+06 1.444730904843216296e+06 1.796782041656864341e+06 2.077874581412644591e+06 2.307095623430068139e+06 2.459863812540829182e+06 7.780523315680492047e+00 1.628455659410366252e+01 2.248664879142955186e+01 2.719364907928918740e+01 3.067997481059707354e+01 3.314802984081982373e+01 3.486646890688355427e+01 3.609719694635988674e+01 8.135120815266322580e+00 1.727829797152555358e+01 2.435231484061149132e+01 3.010372836768652149e+01 3.470059527294908008e+01 3.828194389081942717e+01 4.114583270545470839e+01 4.369224867303074689e+01 1.045567456611667945e+00 1.061026376255129522e+00 1.082960791116795329e+00 1.107012301292820577e+00 1.131038507474826815e+00 1.154865160079994402e+00 1.180070394269239875e+00 1.210892204611752065e+00
1.054999999999999938e+00 1.291824624843967904e+05 5.519409430747735314e+05 1.013334405594097101e+06 1.440345932023404865e+06 1.806787108535879757e+06 2.103088138281730004e+06 2.327406100087215658e+06 2.535467159800858237e+06 1.297865316172108869e+05 5.540166617293084273e+05 1.015667541987580014e+06 1.440071829776121071e+06 1.798327394317295169e+06 2.074464723930867156e+06 2.246719110764029436e+06 2.274142846737982705e+06 7.781764125698903634e+00 1.628909920134716671e+01 2.249998409382584086e+01 2.720913839089938691e+01 3.067269895977693395e+01 3.312058239009149929e+01 3.483901096504919792e+01 3.609103854065408257e+01 8.133721897630657338e+00 1.727564600462234878e+01 2.434971364822978401e+01 3.010127897676363418e+01 3.469626666014263350e+01 3.827460738761278947e+01 4.113648110744259867e+01 4.367997142849990411e+01 1.045220948278801520e+00 1.060567540603173819e+00 1.082203454807432186e+00 1.106292091290707935e+00 1.131168552863776711e+00 1.155602493810147680e+00 1.180736214544605422e+00 1.210725557254541451e+00
1.064999999999999947e+00 1.292585571200260456e+05 5.528819191769039026e+05 1.015276163110464695e+06 1.440510368232471403e+06 1.800631658723927569e+06 2.096725305154382251e+06 2.352111461023846641e+06 2.617098032853131648e+06 1.294002022236371558e+05 5.529105992312954040e+05 1.013634763991318294e+06 1.434177969584987266e+06 1.783955084113939898e+06 2.058301505243180785e+06 2.264459963851930108e+06 2.368642475952142384e+06 7.781236087474310281e+00 1.628756306572264734e+01 2.249299593489088522e+01 2.720041467033646754e+01 3.068109997371518816e+01 3.314303853082389395e+01 3.485961856898737921e+01 3.609411695874737802e+01 8.130644252434153785e+00 1.726918878535262536e+01 2.434034868373129257e+01 3.008987258176451363e+01 3.468549165413651991e+01 3.826612664170375666e+01 4.112911187054267970e+01 4.366961380090623379e+01 1.044896324404905430e+00 1.060271147300487327e+00 1.082123216895032547e+00 1.106227574218885623e+00 1.130505483657311183e+00 1.154563094876818630e+00 1.179829071448411426e+00 1.210305475733992164e+00
1.074999999999999956e+00 1.294295033426677110e+05 5.531194921586337732e+05 1.015269687037943164e+06 1.442021930704253959e+06 1.807135556070129154e+06 2.104100298844351433e+06 2.340034877562595997e+06 2.572548491257051472e+06 1.292904107320962939e+05 5.519052423530474771e+05 1.011217122864425881e+06 1.432061274472178891e+06 1.785680420177476481e+06 2.059483066788950237e+06 2.242151943430848885e+06 2.300011119052594993e+06 7.781721942876085762e+00 1.628850904128546517e+01 2.249826065296037925e+01 2.720834411035018974e+01 3.067830471569089568e+01 3.313203448185400646e+01 3.484961956031337138e+01 3.609079920357522298e+01 8.128900368595335379e+00 1.726573901971049807e+01 2.433647297763601713e+01 3.008629352370263277e+01 3.468145666845605746e+01 3.826106090124257975e+01 4.112309113559948770e+01 4.366034269738015183e+01 1.044606959354689169e+00 1.059997718481220597e+00 1.081697825811397840e+00 1.105773635186315662e+00 1.130478684599053540e+00 1.154793786961495927e+00 1.179997102857592406e+00 1.210133740846109029e+00
1.084999999999999964e+00 1.294227608356866403e+05 5.534267802419826621e+05 1.016301099536202964e+06 1.442608074004427297e+06 1.804539738533972995e+06 2.100961319945251103e+06 2.349773875674463809e+06 2.601687484130406287e+06 1.291151165383603802e+05 5.514751082633223850e+05 1.010836040780034033e+06 1.430514556502380641e+06 1.780188521131139947e+06 2.052934393953262595e+06 2.249828698821951635e+06 2.334383808747175150e+06 7.781745538370363313e+00 1.628882671932303694e+01 2.249604836985082557e+01 2.720449328378681741e+01 3.068251376536343855e+01 3.314149551670815441e+01 3.485693315131127434e+01 3.609102787680402002e+01 8.126844694619219212e+00 1.726167241358847804e+01 2.433087424815988697e+01 3.007961194005279992e+01 3.467519231997950158e+01 3.825599601176409692e+01 4.111818245748911238e+01 4.365216802019393327e+01 1.044339582006641010e+00 1.059727381554424586e+00 1.081555235353593103e+00 1.105684598832405330e+00 1.130118275672923556e+00 1.154311797992096267e+00 1.179610834358638671e+00 1.209876652159151300e+00
1.094999999999999973e+00 1.295112136523654772e+05 5.535959702421784168e+05 1.016208637462418876e+06 1.442983768514682772e+06 1.807372408588051330e+06 2.104327294088666327e+06 2.344908331597943325e+06 2.586022464168623090e+06 1.291035735067565256e+05 5.512032426305442350e+05 1.009889899189107353e+06 1.429615751856842777e+06 1.781380954125583172e+06 2.054189646770214429e+06 2.241288996075722389e+06 2.310318296955494676e+06 7.782081526287057294e+00 1.628912244539662879e+01 2.249839847668316395e+01 2.720856032599098739e+01 3.068147990850125240e+01 3.313747805161987259e+01 3.485396154807969538e+01 3.608974784530305158e+01 8.125306992767384884e+00 1.725866213640203384e+01 2.432734784219614355e+01 3.007629901350037116e+01 3.467192162013383694e+01 3.825250225076225519e+01 4.111409830512243246e+01 4.364475021026027690e+01 1.044096886055388307e+00 1.059523307633043698e+00 1.081285582305739901e+00 1.105397513136161747e+00 1.130050727768788565e+00 1.154346015764424305e+00 1.179596092823283149e+00 1.209692820521417245e+00
