time                     Te-source-int-ft1        Te-source-int-ft2        Te-source-int-ft3        Te-source-int-ft4        Te-source-int-ft5        Te-source-int-ft6        Te-source-int-ft7        Te-source-int-ft8        Ti-source-int-ft1        Ti-source-int-ft2        Ti-source-int-ft3        Ti-source-int-ft4        Ti-source-int-ft5        Ti-source-int-ft6        Ti-source-int-ft7        Ti-source-int-ft8        dvdrho1                  dvdrho2                  dvdrho3                  dvdrho4                  dvdrho5                  dvdrho6                  dvdrho7                  dvdrho8                  surfaceA1                surfaceA2                surfaceA3                surfaceA4                surfaceA5                surfaceA6                surfaceA7                surfaceA8                gm7-ft1                  gm7-ft2                  gm7-ft3                  gm7-ft4                  gm7-ft5                  gm7-ft6                  gm7-ft7                  gm7-ft8
1.004999999999999893e+00 1.338231977073120361e+05 5.685538046596242348e+05 1.037366584323952091e+06 1.467862355946287513e+06 1.844896875289574498e+06 2.191368108691886533e+06 2.577118334114801604e+06 3.078793756670389324e+06 1.441105041887817497e+05 6.149068957779750926e+05 1.128082992792220321e+06 1.604132199751046719e+06 2.020435536001265980e+06 2.388848399370286148e+06 2.759037310880267527e+06 3.173085722204360180e+06 6.636756170107810604e+00 1.400649823418860151e+01 1.947012178255695147e+01 2.386738631414980460e+01 2.748537608831350809e+01 3.044838666321971132e+01 3.271260642966355903e+01 3.439221787627316473e+01 6.773381724522320013e+00 1.450376964489067433e+01 2.053835978533602002e+01 2.572304519837103598e+01 3.035978439805617768e+01 3.464993059597640013e+01 3.878003825956028550e+01 4.283841805936680913e+01 1.020585242152042715e+00 1.035505615453833350e+00 1.054860111936044786e+00 1.077747465757193268e+00 1.104601982249894920e+00 1.137916124449566357e+00 1.185379809681709862e+00 1.246386661182881994e+00
1.014999999999999902e+00 1.285624172808538569e+05 5.504795471009444445e+05 1.012943013339094585e+06 1.440840141376486514e+06 1.800634020340507617e+06 2.062119193668600870e+06 2.111652744890226051e+06 1.799772059396867640e+06 1.354472882402361138e+05 5.808573204049093183e+05 1.071190339770301711e+06 1.526891132883238140e+06 1.910265672201551730e+06 2.183710509610043373e+06 2.202904023188171908e+06 1.661034460348507389e+06 7.797133767476196020e+00 1.631682665960052248e+01 2.251984218249454628e+01 2.719668473653426233e+01 3.060696229374618937e+01 3.297178999308509617e+01 3.468600393372989998e+01 3.602108649626976700e+01 8.157154201338750354e+00 1.732513223598364149e+01 2.441567889259096091e+01 3.017615017627124629e+01 3.477243174574181950e+01 3.834495998248682014e+01 4.119960091716727391e+01 4.374975887451324041e+01 1.046165947974412092e+00 1.061798444854579859e+00 1.084177942783496995e+00 1.109551577727023952e+00 1.136080379187862643e+00 1.162969969446932650e+00 1.187757156862085717e+00 1.215236311380859524e+00
1.024999999999999911e+00 1.285917128471664037e+05 5.488129299239247339e+05 1.004414995041543734e+06 1.419954133707658853e+06 1.771346256471071625e+06 2.070575417352111079e+06 2.363078690418241546e+06 2.697427785538238939e+06 1.330076955820622097e+05 5.680823951431676978e+05 1.040890125644214801e+06 1.472929514280024217e+06 1.837115530512301251e+06 2.140750275855764747e+06 2.419548281796934083e+06 2.676818517452667002e+06 7.782463394541879076e+00 1.628355514161959761e+01 2.248140081164144277e+01 2.718719234997015022e+01 3.067610839660725119e+01 3.314532506887947250e+01 3.486050622713703717e+01 3.605902466767928871e+01 8.142590652610650181e+00 1.729364359978536925e+01 2.437309576905502695e+01 3.012880438932466021e+01 3.472858560368224801e+01 3.831116150256978869e+01 4.117506839266766860e+01 4.372466607783746895e+01 1.046266679011075951e+00 1.062034126565480463e+00 1.084137949011973800e+00 1.108197659116342049e+00 1.132092898462268904e+00 1.155841588251231400e+00 1.181104454748533872e+00 1.213177384151124416e+00
1.034999999999999920e+00 1.284735910985965893e+05 5.491652264906454366e+05 1.009132358954783878e+06 1.435845777787945466e+06 1.802040859096643515e+06 2.092842707201767713e+06 2.285237819509868510e+06 2.409932153910760302e+06 1.311434353236777824e+05 5.605362533745459514e+05 1.029871225539389765e+06 1.464208660179017344e+06 1.833381465402621543e+06 2.116311312642848119e+06 2.269120232611673884e+06 2.217862181575077586e+06 7.786079886271062733e+00 1.629860943075220803e+01 2.251055117569534758e+01 2.721237110742485044e+01 3.065611776635928365e+01 3.307914091542498625e+01 3.478677901964174168e+01 3.605179570934102173e+01 8.142308277342959144e+00 1.729383144758265090e+01 2.437434123954102461e+01 3.012927533222055843e+01 3.472417692318180826e+01 3.829980835993012533e+01 4.115912229913622156e+01 4.370665891061113228e+01 1.045744337722303019e+00 1.061064508295816999e+00 1.082789371658093192e+00 1.107189450681181686e+00 1.132690973005504365e+00 1.157815263843870346e+00 1.183153790577681441e+00 1.212863970601444130e+00
1.044999999999999929e+00 1.289596414314779249e+05 5.515189781747276429e+05 1.012035971637716866e+06 1.434127301219683141e+06 1.790038753239915473e+06 2.083932894570609787e+06 2.348365170251843054e+06 2.635484159048910718e+06 1.304457912578880932e+05 5.575851622050587321e+05 1.022348162395108724e+06 1.446431519916132325e+06 1.799397162152816774e+06 2.080147712229521247e+06 2.307808843391812872e+06 2.463974294812466018e+06 7.783212168932768016e+00 1.628975655265110589e+01 2.249170020460326924e+01 2.719454222567974000e+01 3.067428247787040974e+01 3.313568483515319940e+01 3.484643965056563530e+01 3.606583875398487748e+01 8.136632238882155477e+00 1.728138632650405171e+01 2.435624900150212113e+01 3.010774424710685437e+01 3.470406747254585156e+01 3.828459710743469202e+01 4.114752236763718685e+01 4.369273511937584686e+01 1.045400441525214275e+00 1.060877244403923392e+00 1.082892465536168247e+00 1.107123557724261298e+00 1.131361641908631421e+00 1.155375051661057029e+00 1.180796902547515348e+00 1.211960086352580568e+00
1.054999999999999938e+00 1.291921055318243161e+05 5.519306573416258907e+05 1.013027889275025926e+06 1.439209930608168244e+06 1.804428556788740912e+06 2.099900401499326341e+06 2.323487868826782331e+06 2.524776380395666696e+06 1.299157801524304086e+05 5.545929739107663045e+05 1.016658321292861598e+06 1.441254436296929372e+06 1.799829160659246845e+06 2.077818954388236161e+06 2.255040109688077588e+06 2.290463688229288440e+06 7.784484356958311757e+00 1.629381039334239389e+01 2.250411886550478968e+01 2.721066011876431290e+01 3.066909961140038376e+01 3.310858722845770785e+01 3.481677777220306069e+01 3.605806975829246142e+01 8.135201326981889025e+00 1.727858751164216145e+01 2.435339179253425357e+01 3.010517444911712559e+01 3.469990303866060088e+01 3.827748420008015984e+01 4.113821133482526449e+01 4.368041232124456741e+01 1.045045769223686083e+00 1.060441414170775642e+00 1.082168006650579883e+00 1.106373453662099715e+00 1.131419697722053419e+00 1.156108234786899391e+00 1.181539617279898646e+00 1.211847442113396234e+00
1.064999999999999947e+00 1.292777306914734072e+05 5.528757710438471986e+05 1.015152157668808126e+06 1.440249325773385353e+06 1.799941699251157232e+06 2.094305785424731905e+06 2.345829866508372594e+06 2.604018225968576968e+06 1.295207770421933092e+05 5.534039040032473858e+05 1.014626344368366525e+06 1.435946420119424816e+06 1.786711822599158389e+06 2.061718069831111236e+06 2.268718207507194020e+06 2.378809591997747310e+06 7.783975093615131513e+00 1.629255343139447731e+01 2.249776036941903357e+01 2.720144556207064568e+01 3.067581176653809294e+01 3.313055053005756179e+01 3.483843268598899812e+01 3.606152735431182066e+01 8.132143852528590955e+00 1.727219889357870386e+01 2.434416372286970898e+01 3.009380451683252389e+01 3.468892732097543075e+01 3.826872491965592360e+01 4.113067001413075729e+01 4.366999184706843096e+01 1.044721313845153876e+00 1.060131124470796493e+00 1.082063605552758601e+00 1.106330169988773982e+00 1.130812347723549438e+00 1.155076416718571197e+00 1.180590886195030054e+00 1.211412449422479609e+00
1.074999999999999956e+00 1.294655533338383393e+05 5.532599366018101573e+05 1.015389140786683885e+06 1.441755134978014976e+06 1.806079577122606104e+06 2.102131708514852915e+06 2.336312106057522818e+06 2.561784780730002560e+06 1.294096347896897496e+05 5.524612077740143286e+05 1.012280352639580378e+06 1.433541674377503106e+06 1.787660917752373731e+06 2.062894987125961110e+06 2.248867516884575132e+06 2.313257645255034789e+06 7.784512156959390694e+00 1.629343945413185679e+01 2.250259433132767839e+01 2.720961766579481633e+01 3.067393997845932319e+01 3.311957478222708318e+01 3.482738267458243797e+01 3.605758837810185469e+01 8.130403947107772922e+00 1.726872413299413012e+01 2.434017844911463868e+01 3.009012954964276787e+01 3.468490737165824811e+01 3.826368478939436102e+01 4.112459457287444309e+01 4.366066683498570455e+01 1.044425703112731085e+00 1.059860163236599595e+00 1.081654123130586731e+00 1.105862917403609424e+00 1.130751920895721518e+00 1.155307456132956156e+00 1.180793305495439816e+00 1.211260441411286859e+00
1.084999999999999964e+00 1.294767311680016719e+05 5.535843946380781708e+05 1.016457379827344907e+06 1.442669726305082208e+06 1.804236291628749110e+06 2.099371601664472837e+06 2.345288481481786352e+06 2.590834065657749306e+06 1.292365745520732453e+05 5.519750752947215224e+05 1.011786904280227376e+06 1.432090796590769896e+06 1.782601959253649460e+06 2.056250203989204951e+06 2.254890876585818361e+06 2.346046036623145919e+06 7.784509905942218033e+00 1.629376595840758313e+01 2.250066634236529239e+01 2.720555994853659243e+01 3.067744611942813648e+01 3.312897760142867298e+01 3.483531344456589096e+01 3.605803782201652297e+01 8.128332198357956173e+00 1.726462957393807329e+01 2.433458675619725753e+01 3.008342168633921077e+01 3.467850736704484405e+01 3.825845586436472701e+01 4.111957796889073791e+01 4.365245074717768858e+01 1.044159823874215798e+00 1.059587614388749044e+00 1.081498230729334820e+00 1.105781271618414330e+00 1.130412957606831137e+00 1.154821999905698338e+00 1.180382560062364528e+00 1.210994542890166947e+00
1.094999999999999973e+00 1.295667583830727672e+05 5.538131182341391686e+05 1.016506180903522298e+06 1.443086190485837869e+06 1.806909758907414507e+06 2.102946599648409057e+06 2.341412286389394663e+06 2.575590720386855304e+06 1.292141871380327211e+05 5.517066558865712723e+05 1.010870133550909464e+06 1.431053752872142708e+06 1.783379100923672551e+06 2.057417790742640849e+06 2.247151731045260560e+06 2.322338657264635433e+06 7.784878773718702405e+00 1.629409681434753665e+01 2.250281880870756268e+01 2.720975262287484853e+01 3.067682572664451968e+01 3.312489158784133991e+01 3.483181792978851377e+01 3.605648791210866477e+01 8.126799550124339078e+00 1.726161788417071108e+01 2.433100721273648048e+01 3.008004431961602521e+01 3.467521518514440260e+01 3.825493477110315865e+01 4.111543152534988366e+01 4.364499319937694821e+01 1.043913461085051342e+00 1.059381238687506110e+00 1.081235752105046855e+00 1.105486769180167972e+00 1.130329439903262623e+00 1.154857997429711292e+00 1.180383848798693069e+00 1.210818619008394936e+00
