time                     Te                       dTe                       Ti                       dTi                       ne                       dne                       q                        B0                        flux-Te                  flux-Ti                  flux-ne                  cp-flux-Te               cp-flux-Ti               cp-flux-ne
2.005500000000000060e+00 1.117658291446874728e+03 -3.145192496934893825e+03 1.047907245351711708e+03 -2.509865939989574144e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.600996324682406158e+00 -2.476047272727269988e+00 4.847498482402189984e+04 1.011592042253910040e+05 3.395173699799547904e+19 1.745299605529051274e+06 3.324875257748347707e+06 1.352471584756087652e+21
2.005700000000000038e+00 1.117946965510064729e+03 -3.153557578861932598e+03 1.042709712550923541e+03 -2.609130464008677791e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.595505354136444787e+00 -2.476047272727269988e+00 4.837541205121030362e+04 1.002767150524260069e+05 3.386079532702660198e+19 1.744976183568230132e+06 3.308928210963511840e+06 1.353620717872571220e+21
2.005900000000000016e+00 1.118063618271886753e+03 -3.168782484695524545e+03 1.036291429782843579e+03 -2.717349517536540588e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.594483918764552755e+00 -2.476047272727269988e+00 4.826675726335310173e+04 9.970311861581100675e+04 3.375531188942886912e+19 1.745300083390921121e+06 3.296287654300574679e+06 1.353859661745716462e+21
2.006099999999999994e+00 1.117938933233796661e+03 -3.191859755613914331e+03 1.029213347564378637e+03 -2.819818949046479247e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.593736731880458724e+00 -2.476047272727269988e+00 4.822514662925960147e+04 9.941845025075689773e+04 3.376972792360246067e+19 1.747782083606398199e+06 3.275315160939204507e+06 1.354048652501172617e+21
2.006299999999999972e+00 1.117525315115249668e+03 -3.222425722732910344e+03 1.021857520320566664e+03 -2.910618701394486379e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.593186682080432792e+00 -2.476047272727269988e+00 4.832805848888940091e+04 9.956180041525039996e+04 3.396177393332754842e+19 1.754037404790341854e+06 3.261684351532462519e+06 1.354201565051338097e+21
2.006499999999999950e+00 1.116802038126421849e+03 -3.259228196702023070e+03 1.014435314451312024e+03 -2.988604885498064050e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.592777822951271016e+00 -2.476047272727269988e+00 4.858128930825230054e+04 1.001800899760210013e+05 3.425125442166496870e+19 1.763856322312016971e+06 3.262025601583914366e+06 1.354328317218400240e+21
2.006800000000000139e+00 1.115134468057481627e+03 -3.322651227304049826e+03 1.003338972510162876e+03 -3.083664953541848263e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.592474055295637569e+00 -2.476047272727269988e+00 4.902361688796529779e+04 1.013382463454609970e+05 3.466867138170218086e+19 1.787452640592226759e+06 3.306720697523764335e+06 1.354435207510659695e+21
2.007200000000000095e+00 1.111971251521430759e+03 -3.414198154261159289e+03 9.891269490465251693e+02 -3.175494713856642193e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.592109547719285256e+00 -2.476047272727269988e+00 4.971265884990819904e+04 1.027455711983570072e+05 3.522971349793714995e+19 1.818049264454034623e+06 3.337384416340822820e+06 1.354568691043673571e+21
2.007800000000000029e+00 1.105796607365649834e+03 -3.548384258636996037e+03 9.694750341903504705e+02 -3.259407382753754518e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.591787095176063094e+00 -2.476047272727269988e+00 5.061328895385460055e+04 1.044154965425789997e+05 3.589147364632113152e+19 1.859408131857311586e+06 3.369767061000699643e+06 1.354706993366456861e+21
2.008399999999999963e+00 1.098750305383747900e+03 -3.665523548086366645e+03 9.519447030870007893e+02 -3.301386850711009629e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.591542406986147906e+00 -2.476047272727269988e+00 5.174218450067519734e+04 1.060922047600969963e+05 3.693367328151765811e+19 1.881153757087088423e+06 3.371775838428601157e+06 1.354853013530797408e+21
