Profile: 0/IDA/Te Time: @4.000000 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.0000       3.8808       2.8985       4.1524
  0.0042       3.8797       3.1345       4.1511
  0.0085       3.8765       3.3684       4.1477
  0.0127       3.8712       3.6002       4.1422
  0.0169       3.8638       3.5935       4.1342
  0.0212       3.8546       3.5849       4.1243
  0.0254       3.8435       3.5744       4.1125
  0.0296       3.8306       3.5626       4.0987
  0.0338       3.8161       3.5491       4.0832
  0.0381       3.8001       3.5341       4.0661
  0.0423       3.7826       3.5179       4.0710
  0.0465       3.7637       3.5003       4.0746
  0.0508       3.7435       3.4814       4.0769
  0.0550       3.7221       3.4617       4.0302
  0.0592       3.6997       3.4408       3.9823
  0.0635       3.6762       3.4189       3.9335
  0.0677       3.6518       3.3962       3.9074
  0.0719       3.6266       3.3728       3.8804
  0.0761       3.6006       3.3486       3.8527
  0.0804       3.5740       3.3239       3.9519
  0.0846       3.5468       3.2986       4.0506
  0.0888       3.5192       3.2728       4.1488
  0.0931       3.4911       3.2467       3.9910
  0.0973       3.4627       3.2203       3.8328
  0.1015       3.4340       3.1937       3.6744
  0.1058       3.4052       3.1669       3.6436
  0.1092       3.3763       3.1399       3.6126
  0.1126       3.3472       3.1129       3.5815
  0.1159       3.3182       3.0325       3.5504
  0.1193       3.2891       2.9521       3.5194
  0.1227       3.2601       2.8717       3.4883
  0.1261       3.2312       2.8564       3.4574
  0.1296       3.2025       2.8412       3.4267
  0.1330       3.1739       2.8261       3.3961
  0.1365       3.1455       2.8397       3.3657
  0.1400       3.1174       2.8535       3.3357
  0.1443       3.0896       2.8676       3.3059
  0.1497       3.0621       2.8439       3.2765
  0.1551       3.0350       2.8206       3.2475
  0.1605       3.0083       2.7977       3.2188
  0.1658       2.9819       2.7732       3.1907
  0.1711       2.9561       2.7491       3.1630
  0.1763       2.9307       2.7255       3.1358
  0.1815       2.9058       2.7023       3.1586
  0.1864       2.8814       2.6797       3.1820
  0.1909       2.8576       2.6576       3.2058
  0.1953       2.8343       2.6359       3.1316
  0.1998       2.8117       2.6149       3.0580
  0.2042       2.7897       2.5944       2.9850
  0.2086       2.7683       2.5273       2.9621
  0.2131       2.7474       2.4608       2.9398
  0.2173       2.7269       2.3946       2.9178
  0.2215       2.7068       2.4230       3.0424
  0.2257       2.6869       2.4516       3.1673
  0.2299       2.6671       2.4804       3.2922
  0.2341       2.6474       2.4621       3.1640
  0.2384       2.6277       2.4437       3.0357
  0.2429       2.6078       2.4253       2.9073
  0.2476       2.5877       2.2511       2.8468
  0.2523       2.5674       2.0768       2.7861
  0.2569       2.5468       1.9021       2.7250
  0.2616       2.5257       2.0380       2.7047
  0.2662       2.5041       2.1734       2.6838
  0.2706       2.4820       2.3083       2.6624
  0.2750       2.4593       2.2872       2.6675
  0.2795       2.4359       2.2655       2.6719
  0.2839       2.4118       2.2430       2.6756
  0.2887       2.3870       2.1917       2.6212
  0.2940       2.3613       2.1396       2.5659
  0.2993       2.3347       2.0866       2.5098
  0.3046       2.3072       2.0886       2.4765
  0.3098       2.2788       2.0895       2.4422
  0.3144       2.2494       2.0895       2.4069
  0.3188       2.2191       1.9800       2.3744
  0.3232       2.1881       1.8697       2.3412
  0.3276       2.1565       1.7589       2.3074
  0.3323       2.1244       1.8113       2.2765
  0.3374       2.0920       1.8634       2.2453
  0.3424       2.0595       1.9154       2.2140
  0.3474       2.0270       1.8851       2.1758
  0.3525       1.9946       1.8550       2.1377
  0.3578       1.9625       1.8251       2.0999
  0.3630       1.9307       1.7652       2.0659
  0.3683       1.8994       1.7057       2.0324
  0.3733       1.8687       1.6468       1.9995
  0.3782       1.8386       1.6491       1.9673
  0.3830       1.8092       1.6521       1.9359
  0.3879       1.7807       1.6560       1.9053
  0.3937       1.7530       1.6303       1.8758
  0.3997       1.7263       1.6054       1.8472
  0.4057       1.7003       1.5813       1.8193
  0.4114       1.6750       1.4178       1.7923
  0.4163       1.6503       1.2549       1.7658
  0.4211       1.6260       1.0925       1.7399
  0.4259       1.6022       1.2102       1.7144
  0.4315       1.5788       1.3283       1.6893
  0.4373       1.5556       1.4467       1.6645
  0.4430       1.5326       1.4253       1.6398
  0.4490       1.5097       1.4040       1.6153
  0.4553       1.4868       1.3827       1.5909
  0.4615       1.4640       1.3615       1.6043
  0.4674       1.4411       1.3402       1.6176
  0.4728       1.4181       1.3188       1.6308
  0.4782       1.3950       1.2973       1.5682
  0.4839       1.3716       1.2756       1.5054
  0.4910       1.3480       1.2537       1.4424
  0.4980       1.3242       1.2315       1.4223
  0.5045       1.3000       1.2091       1.4019
  0.5093       1.2756       1.1863       1.3812
  0.5141       1.2508       1.1632       1.3492
  0.5197       1.2256       1.1398       1.3168
  0.5273       1.2000       1.1160       1.2840
  0.5349       1.1741       1.0919       1.2563
  0.5421       1.1479       1.0675       1.2282
  0.5487       1.1216       1.0431       1.2001
  0.5554       1.0954      0.69506       1.1721
  0.5612       1.0694      0.34736       1.1443
  0.5667       1.0439       0.0000       1.1169
  0.5721       1.0188      0.24795       1.0902
  0.5804      0.99447      0.49656       1.0641
  0.5889      0.97085      0.74596       1.0388
  0.5971      0.94810      0.66907       1.0145
  0.6046      0.92628      0.59311      0.99119
  0.6121      0.90549      0.51818      0.96888
  0.6198      0.88579      0.60775       1.0343
  0.6275      0.86724      0.69848       1.1008
  0.6352      0.84990      0.79041       1.1686
  0.6427      0.83381      0.77536       1.0852
  0.6503      0.81903      0.76161       1.0032
  0.6582      0.80546      0.74908      0.92235
  0.6662      0.79299      0.73742      0.88890
  0.6746      0.78147      0.72671      0.85641
  0.6845      0.77079      0.71684      0.82475
  0.6943      0.76083      0.70753      0.81413
  0.7027      0.75148      0.69884      0.80412
  0.7108      0.74264      0.69066      0.79463
  0.7196      0.73422      0.68280      0.78563
  0.7292      0.72611      0.67527      0.77695
  0.7388      0.71814      0.66787      0.76841
  0.7492      0.70982      0.66021      0.75944
  0.7594      0.70066      0.65169      0.74962
  0.7693      0.69015      0.64184      0.73846
  0.7791      0.67787      0.63058      0.72516
  0.7901      0.66341      0.61714      0.70968
  0.8019      0.64644      0.60119      0.69169
  0.8131      0.62670      0.58265      0.67038
  0.8237      0.60419      0.56134      0.64632
  0.8347      0.57945      0.53781      0.62002
  0.8475      0.55310      0.51372      0.59175
  0.8600      0.52568      0.48857      0.56243
  0.8715      0.49773      0.46289      0.53257
  0.8829      0.46969      0.43236      0.50268
  0.8957      0.44224      0.40242      0.47338
  0.9085      0.41824      0.37593      0.44752
  0.9221      0.40102      0.33604      0.42912
  0.9358      0.39196      0.30432      0.41888
  0.9492      0.36791      0.25761      0.39367
  0.9625      0.30014      0.18555      0.32398
  0.9764      0.20377     0.084883      0.22569
  0.9945      0.12400   0.00082343      0.14400
  1.0000     0.082157       0.0000      0.10216
  1.0000     0.064035       0.0000     0.084035
  1.0000     0.057205       0.0000     0.077205
  1.0000     0.051829    0.0070246     0.071829
  1.0000     0.045828     0.013427     0.065828
  1.0000     0.040561     0.020561     0.060561
  1.0000     0.035804     0.015804     0.055804
  1.0000     0.031189     0.011189     0.051189
  1.0000     0.026552    0.0065515     0.046552
  1.0000     0.022008    0.0020081     0.042008
  1.0000     0.017741       0.0000     0.037741
  1.0000     0.013890       0.0000     0.033890
  1.0000     0.010550       0.0000     0.046003
  1.0000    0.0077636       0.0000     0.058670
  1.0000    0.0055302       0.0000     0.071893
  1.0000    0.0038410       0.0000       4.0479
  1.0000    0.0026427       0.0000       8.0250
  1.0000    0.0018311       0.0000       12.002
  1.0000    0.0012987       0.0000       14.538
  1.0000   0.00095837       0.0000       17.075
  1.0000   0.00074808       0.0000       19.611
  1.0000   0.00062780       0.0000       18.102
  1.0000   0.00057539       0.0000       16.594
  1.0000   0.00057542       0.0000       15.085
  1.0000   0.00061746       0.0000       13.636
  1.0000   0.00069864       0.0000       12.187
  1.0000   0.00081913       0.0000       10.737
  1.0000   0.00097793       0.0000       13.155
  1.0000    0.0011683       0.0000       15.574
  1.0000    0.0013726       0.0000       17.992
  1.0000    0.0015583       0.0000       15.706
  1.0000    0.0016801       0.0000       13.421
  1.0000    0.0016988       0.0000       11.135
  1.0000    0.0016271       0.0000       13.340
  1.0000    0.0015005       0.0000       15.544
  1.0000    0.0013540       0.0000       17.748
  1.0000    0.0012151       0.0000       16.321
  1.0000    0.0011023       0.0000       14.895
  1.0000    0.0010274       0.0000       13.468
  1.0000    0.0010000       0.0000       13.468
Profile: 0/IDA/ne Time: @4.000000 Scale: 1.00000e+19
rho toroidal     Data        Lower        Upper
  0.0000       8.9700       6.0548       13.679
  0.0042       8.9702       6.8398       12.334
  0.0085       8.9706       7.4007       11.550
  0.0127       8.9712       7.6816       11.046
  0.0169       8.9720       7.8505       10.766
  0.0212       8.9731       7.9636       10.599
  0.0254       8.9743       8.0208       10.545
  0.0296       8.9756       8.0781       10.490
  0.0338       8.9771       8.0794       10.436
  0.0381       8.9787       8.0809       10.438
  0.0423       8.9805       8.0824       10.440
  0.0465       8.9822       8.0840       10.498
  0.0508       8.9841       8.0295       10.500
  0.0550       8.9860       8.0312       10.502
  0.0592       8.9879       8.0329       10.561
  0.0635       8.9898       7.9784       10.507
  0.0677       8.9916       7.9239       10.340
  0.0719       8.9935       7.8131       10.174
