Profile: 0/IDA/Te Time: @3.999540 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.0000       2.7364       2.5448       3.0528
  0.0044       2.7358       2.5444       3.0104
  0.0089       2.7340       2.5427       2.9669
  0.0133       2.7311       2.5399       2.9222
  0.0178       2.7270       2.5362       2.9178
  0.0222       2.7219       2.5314       2.9124
  0.0267       2.7158       2.5257       2.9059
  0.0311       2.7087       2.5192       2.8983
  0.0356       2.7007       2.5117       2.8897
  0.0400       2.6918       2.5034       2.8803
  0.0445       2.6821       2.4944       2.8698
  0.0489       2.6717       2.4847       2.8586
  0.0534       2.6605       2.4743       2.8467
  0.0578       2.6486       2.4633       2.8340
  0.0623       2.6362       2.4517       2.8206
  0.0667       2.6231       2.4395       2.8067
  0.0712       2.6095       2.4269       2.7921
  0.0756       2.5954       2.4138       2.7771
  0.0801       2.5809       2.4003       2.7616
  0.0845       2.5660       2.3591       2.7456
  0.0890       2.5508       2.3176       2.7293
  0.0934       2.5353       2.2758       2.7127
  0.0979       2.5195       2.0915       2.6958
  0.1023       2.5035       1.9069       2.6787
  0.1068       2.4873       1.7222       2.6614
  0.1113       2.4710       1.7901       2.6440
  0.1163       2.4545       1.8579       2.6263
  0.1213       2.4378       1.9255       2.6085
  0.1262       2.4210       2.0237       2.6590
  0.1312       2.4039       2.1217       2.7094
  0.1361       2.3866       2.2195       2.7595
  0.1410       2.3690       2.2032       2.7410
  0.1459       2.3513       2.1867       2.7223
  0.1508       2.3332       2.1699       2.7033
  0.1556       2.3149       2.1529       2.6601
  0.1605       2.2963       2.1356       2.6166
  0.1653       2.2775       2.1180       2.5728
  0.1701       2.2583       2.1002       2.5485
  0.1749       2.2388       2.0821       2.5240
  0.1797       2.2191       2.0637       2.4991
  0.1844       2.1990       2.0451       2.4360
  0.1892       2.1786       2.0261       2.3726
  0.1940       2.1579       2.0068       2.3089
  0.1987       2.1368       1.9794       2.2864
  0.2027       2.1154       1.9517       2.2635
  0.2068       2.0937       1.9236       2.2403
  0.2108       2.0717       1.8894       2.2167
  0.2149       2.0493       1.8549       2.1928
  0.2190       2.0266       1.8200       2.1685
  0.2231       2.0037       1.8202       2.1553
  0.2276       1.9805       1.8203       2.1420
  0.2324       1.9572       1.8202       2.1285
  0.2373       1.9339       1.7985       2.0921
  0.2421       1.9105       1.7768       2.0557
  0.2469       1.8872       1.7551       2.0193
  0.2518       1.8640       1.6987       1.9945
  0.2570       1.8409       1.6425       1.9698
  0.2626       1.8181       1.5866       1.9454
  0.2681       1.7955       1.6003       2.5932
  0.2736       1.7732       1.6143       3.2413
  0.2791       1.7513       1.6287       3.8898
  0.2843       1.7297       1.6086       3.9084
  0.2887       1.7086       1.5890       3.9274
  0.2932       1.6879       1.5698       3.9469
  0.2977       1.6678       1.5510       3.2721
  0.3022       1.6481       1.5327       2.5979
  0.3071       1.6290       1.5150       1.9243
  0.3126       1.6105       1.4977       1.8441
  0.3180       1.5926       1.4811       1.7646
  0.3234       1.5754       1.4651       1.6857
  0.3288       1.5588       1.4089       1.6680
  0.3336       1.5429       1.3534       1.6510
  0.3384       1.5277       1.2985       1.6346
