N1,N2,N3,s2,s3,d2,d3,alpha,dt,NITER,flux_mean,flux_std,flux_ref,Te_0_mean_all,Te_0_std_all,Te_0_mean_50%,Te_0_std_50%
10,90,30,0.2,0.2,10,10,0.01,0.01,1000,27948.95889895097,5131.176942207749,27305.779091160664,4158.144821893873,255.09345843732652,4148.26716650575,197.2760894827743
10,90,30,0.2,0.2,10,10,0.01,0.01,1000,27912.453513787186,5126.251122541562,27305.779091160664,4160.414494963759,246.37190100365774,4222.690458561208,198.49525700681286
10,90,30,0.5,0.5,10,10,0.01,0.01,1000,30278.508506380484,13899.066738206282,27305.779091160664,3987.025280563138,579.4073608601539,4160.364267147027,561.6331508970171
10,90,30,0.5,0.5,10,10,0.01,0.01,1000,30378.99359419014,13838.154874007432,27305.779091160664,3968.6748182060073,487.5360661954226,3989.092901586916,494.7405061574857
10,90,30,1.0,1.0,10,10,0.01,0.01,1000,44280.2467197352,47271.706748700286,27305.779091160664,3207.272053300694,853.055095412017,3243.887956953296,905.2647425425532
10,90,30,1.0,1.0,10,10,0.01,0.01,1000,37232.77678786327,34870.75994984231,27305.779091160664,3686.621129679995,892.0498403990096,3442.1241168890833,836.9728133148852
10,90,30,10.0,10.0,10,10,0.01,0.01,1000,565764052894905.2,1.7424034480469998e+16,27305.779091160664,1984.8980621281726,2502.2645514380397,1906.9127913944938,2350.3669165621814
10,90,30,10.0,10.0,10,10,0.01,0.01,1000,340268094342053.4,6963828926033974.0,27305.779091160664,2004.551455523509,2327.436404109037,1784.0826679369063,2102.4454518253538
10,90,30,0.1,0.1,10,10,0.01,0.01,1000,27320.080588784454,2648.98134259671,27305.779091160664,4227.430179974374,188.1771647608146,4287.870070197938,95.40792576344336
10,90,30,0.1,0.1,10,10,0.01,0.01,1000,27288.54415677571,2757.185741105664,27305.779091160664,4235.815793133033,189.82827872520141,4270.170650560651,108.41621655126893
10,90,30,0.01,0.01,10,10,0.01,0.01,1000,27251.7597283532,1112.5944211695853,27305.779091160664,4231.975747528763,157.66583719196726,4269.042399278198,11.861717250354602
10,90,30,0.01,0.01,10,10,0.01,0.01,1000,27246.149456488056,1119.419025105932,27305.779091160664,4232.491693340878,156.75293196184936,4269.913286219671,10.338340094829114
10,90,30,0.02,0.02,10,10,0.01,0.01,1000,27252.683233627708,1195.4939137026884,27305.779091160664,4231.604234790291,155.9873231326717,4270.047146776892,18.497999972119864
