Ti-ft1 Ti-ft2 Ti-ft3 Ti-ft4 Ti-ft5 Ti-ft6 Ti-ft7 Ti-ft8 Te-ft1 Te-ft2 Te-ft3 Te-ft4 Te-ft5 Te-ft6 Te-ft7 Te-ft8 dTi-ft1 dTi-ft2 dTi-ft3 dTi-ft4 dTi-ft5 dTi-ft6 dTi-ft7 dTi-ft8 dTe-ft1 dTe-ft2 dTe-ft3 dTe-ft4 dTe-ft5 dTe-ft6 dTe-ft7 dTe-ft8 flux-Te-ft1 flux-Te-ft2 flux-Te-ft3 flux-Te-ft4 flux-Te-ft5 flux-Te-ft6 flux-Te-ft7 flux-Te-ft8 flux-Ti-ft1 flux-Ti-ft2 flux-Ti-ft3 flux-Ti-ft4 flux-Ti-ft5 flux-Ti-ft6 flux-Ti-ft7 flux-Ti-ft8 diff-Te-ft1 diff-Te-ft2 diff-Te-ft3 diff-Te-ft4 diff-Te-ft5 diff-Te-ft6 diff-Te-ft7 diff-Te-ft8 diff-Ti-ft1 diff-Ti-ft2 diff-Ti-ft3 diff-Ti-ft4 diff-Ti-ft5 diff-Ti-ft6 diff-Ti-ft7 diff-Ti-ft8 vconv-Te-ft1 vconv-Te-ft2 vconv-Te-ft3 vconv-Te-ft4 vconv-Te-ft5 vconv-Te-ft6 vconv-Te-ft7 vconv-Te-ft8 vconv-Ti-ft1 vconv-Ti-ft2 vconv-Ti-ft3 vconv-Ti-ft4 vconv-Ti-ft5 vconv-Ti-ft6 vconv-Ti-ft7 vconv-Ti-ft8
2170.90135408883 1925.34184920703 1676.80902227128 1425.94155926048 1185.50437346585 962.468785145782 761.298332855471 452.370789277546 1904.37099084917 1700.64929092792 1497.07704933645 1296.04234245381 1107.28111917088 936.197411530073 787.117994529301 534.560448227739 -1752.13522808893 -2505.2797744871 -2849.4671246138 -3029.03796460325 -3122.80232172777 -3157.03474325348 -3131.35052063114 -13842.7606117276 -1455.16544547927 -2070.64344613982 -2308.90461233869 -2401.90948187332 -2425.4918005766 -2386.13079991295 -2262.99259291756 -14675.6769664894 80472.4302133011 128929.064114014 156744.263167327 164045.602144159 162164.677363849 153303.738606064 157439.68103967 1272528.64221333 43594.613430854 106900.068232549 126278.990417998 129709.309942514 126087.672275423 116006.565890283 119132.801438532 1240368.66264068 6.30824076469828 6.97204318728346 7.24721973721111 6.85490202445822 6.19653729677309 5.28199715503969 4.80722712864185 8.37849360061079 4.11433877011446 6.99995455634495 7.21792922319692 6.84050548150091 6.20317559790129 5.28604568318786 5.04153434615872 7.83273452089228 0.0 0.0 0.0 0.0 0.0 3.552713678800501e-15 0.0 2.842170943040401e-14 0.0 0.0 0.0 0.0 0.0 0.0 1.77635683940025e-15 0.0
2077.84385673323 1860.15889341001 1630.49363715854 1390.40219148561 1140.44749132404 864.70638529084 543.873074928794 216.253534890464 1848.32960767374 1652.60759524806 1468.02724400221 1274.22718608507 1072.99668341367 847.997350227394 584.52909996273 285.533402087909 -1432.70697550603 -2288.47365434481 -2644.76480484191 -2988.76575661696 -3459.65678103038 -4403.22942054767 -5380.80727422486 -4299.69057202948 -1495.43001010293 -1826.31683886275 -2140.35858838275 -2406.28613664433 -2792.93185557637 -3624.39089402638 -4508.89006935202 -4176.66904057016 42301.7740381283 106212.868183824 134420.039109631 157805.211339302 194255.629247415 282053.225424663 346895.088480818 132927.324325657 35350.8442430861 84812.9152803424 108354.606047726 126715.444864424 156899.7394242 232259.993255211 291321.73329387 134059.793733264 3.79114133977264 6.0145073024929 6.47947383448065 6.57124363829178 6.79405537550333 7.4547466037346 7.14840247021755 3.07964733742972 3.04103487034363 6.05323329104343 6.45406934944157 6.55489488930513 6.79772511600202 7.45521735962573 7.12148657930915 3.21023780815279 0.0 8.881784197001252e-16 0.0 -1.77635683940025e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -7.105427357601002e-15 -7.105427357601002e-15
2013.59387595446 1796.82404293065 1574.63202899117 1329.4159974348 1069.95333099924 818.539278992662 589.220996598925 246.039921591072 1804.47174719593 1610.4614497498 1429.70568804071 1228.75417043471 1014.56835278386 803.390725210066 604.982029578893 300.472388785251 -1527.6997667654 -2151.73828655163 -2640.76685915986 -3122.22799869601 -3507.64678764383 -3574.43549031508 -3670.53777351859 -5602.58907104894 -1564.2250196149 -1750.08964927851 -2159.98128518269 -2565.19463555712 -2914.80800739685 -3040.40201211892 -3237.84392784967 -4937.43791567657 52069.5231281713 92314.7649688247 133097.149240298 168277.503617976 194130.671222125 181301.962899154 170166.099396966 332626.315244694 52247.4323977708 75188.8794584686 108557.959617152 138006.543926005 161406.010362701 154330.656404378 150461.412821631 293602.935573621 4.36174777444613 5.56734408269798 6.40262487340853 6.70299196897753 6.69183900799866 5.90125933734418 5.0610822398315 5.81374229093596 4.29355494638659 5.59844145015356 6.38152087504797 6.68924585371525 6.69539628103797 5.90797360920992 5.06915310825422 5.80886563092468 0.0 -8.881784197001252e-16 0.0 0.0 0.0 0.0 0.0 0.0 4.440892098500626e-16 -8.881784197001252e-16 0.0 1.77635683940025e-15 0.0 0.0 0.0 0.0
1949.46344978511 1739.71745366442 1517.43095865316 1279.1756860343 1035.67969949494 786.484866261252 521.710389276022 213.703826298061 1755.99005071447 1573.46895265723 1389.08880041588 1190.58585448528 985.839737099877 772.871472011379 542.363946330197 271.796005468142 -1395.62877302184 -2189.50204716738 -2602.06977154873 -2973.03450549155 -3263.11888569116 -3785.33213600824 -4463.68813702241 -4168.29593918829 -1293.22413653407 -1823.84559533593 -2162.35270064798 -2486.15418000939 -2762.64739871048 -3266.34316286018 -3914.20372620742 -3636.18579948185 34962.9826299615 94167.2154446574 126233.565476573 149590.27455785 165127.912848779 198971.264507563 234088.534280842 140945.072313659 16299.3283591315 78572.7301191272 104633.405532107 124885.696813901 139890.524168542 171825.119373548 205500.537759156 123233.541422964 3.2058701731173 5.57030655837945 6.17231400988045 6.265662125127 6.12484549209437 6.12723541018405 5.78325220460587 3.36073151456248 1.61851221119625 5.59268299232041 6.15403397008421 6.25314021738175 6.12873964363384 6.13347852296664 5.78745373434842 3.35752962521354 0.0 -8.881784197001252e-16 0.0 0.0 0.0 0.0 0.0 7.105427357601002e-15 0.0 0.0 0.0 1.77635683940025e-15 0.0 0.0 -7.105427357601002e-15 0.0
1897.12751370897 1683.65169855609 1469.39653965874 1237.27649057609 995.987348217058 757.975462125655 534.265635262294 225.73437510531 1730.44351111835 1530.93268932275 1354.01063126626 1158.3514370179 952.585821387203 746.864482461012 550.988709100161 280.34569569204 -1540.67777110747 -2086.08363463032 -2526.33496444532 -2910.94304616151 -3257.84798700056 -3443.30088807742 -3621.84321794097 -4712.37248753313 -1822.18834966091 -1696.67381125322 -2115.88060292522 -2468.1392048969 -2795.56069044154 -2997.42853353914 -3186.12775820562 -4071.62738502941 51665.104231046 83869.4169913599 117240.729898786 141090.3618028 161562.971072166 161884.264102931 156510.151791937 214766.174106551 58794.0545095725 68300.6854410665 98074.7414442225 119465.592164101 138738.286477152 141060.389660272 137828.36919649 186689.964184619 4.28670355995584 5.21928155258468 5.90164421949642 6.03327840078114 6.00306884640028 5.47701006922896 4.73467908762937 4.50069019080659 4.14214683498463 5.24717559235308 5.88731807091878 6.02251263079762 6.00738920289103 5.48327239047558 4.73877792224597 4.50074692299069 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.4210854715202e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -7.105427357601002e-15
1840.08908281597 1638.28861241413 1426.0892702879 1199.97162291532 969.247210737115 738.067828620022 501.884784686195 211.344908368668 1684.90876685724 1502.27585095348 1322.73453289555 1129.68052400975 930.812163642934 729.498937634427 522.17047345108 268.148282515277 -1343.74922807869 -2102.27406527788 -2469.66765299597 -2823.73936415993 -3081.9397464487 -3445.89331295684 -3955.97488074032 -4070.88048949077 -1340.91476270186 -1784.21869140904 -2098.67290592268 -2422.67280456285 -2669.40407275046 -3015.41375207153 -3478.00394383497 -3504.33674245377 24812.3295643256 84158.5787907575 110151.776618666 130683.004981559 142625.924501854 159839.889415343 180498.352094864 140146.746683213 -258.301321947145 71420.6616736049 93454.140135541 111990.940294218 123637.466873869 140014.896584515 158803.719772368 121066.176099017 2.36285628813623 5.18538841125042 5.67738470625891 5.76671471918266 5.60617396717983 5.4147780770651 5.03032212474549 3.43045741441554 0.02477613196408459 5.20028538030755 5.66381885970187 5.75791699633907 5.61080092760915 5.42086754499191 5.03382689159098 3.42453664367389 0.0 0.0 0.0 0.0 0.0 -3.552713678800501e-15 7.105427357601002e-15 -7.105427357601002e-15 -0.04135948256955897 -8.881784197001252e-16 0.0 0.0 0.0 0.0 0.0 0.0
1801.96910504785 1590.98593712211 1388.13393370168 1168.35230966134 941.948708051362 717.312311567615 501.530186366555 215.242829262546 1677.67201845034 1462.20569593119 1293.97956518281 1105.28435136264 908.578914898254 711.680673039884 521.408956434222 270.667092209838 -1634.71045974623 -1964.41652546086 -2401.01642950164 -2743.59096083309 -3047.46890588116 -3280.66759968296 -3523.62849633228 -4250.20986259698 -4556.64958414732 -1572.92086028549 -2041.85167285606 -2372.36093121704 -2659.55597896535 -2886.56925489061 -3109.58742050328 -3647.75100502857 59459.9114558658 72184.6724816457 102838.608549049 121766.829424199 137507.611987132 142955.823328014 143269.704101523 165293.254021136 95777.7373206008 57908.841496515 87475.3272859043 105189.321496319 120110.044314472 125921.150864215 126514.718414615 142760.013471523 4.64726336361797 4.77611955619232 5.44774051686552 5.52901431006594 5.46786133459298 5.08510003845698 4.47010946845678 3.86567395385811 3.59243980540372 4.80081475697652 5.43826143264492 5.52134191183778 5.47262633406187 5.09106764069183 4.47293644137152 3.86272022071599 8.881784197001252e-16 0.0 1.77635683940025e-15 0.0 0.0 0.0 -7.105427357601002e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.105427357601002e-15
1749.18384329117 1557.83912426915 1354.25788906926 1139.63469661519 920.36805549949 702.108259324198 483.545742574061 208.099592235978 1637.58099001442 1442.13660309209 1269.05229418039 1083.20958135408 891.373390653198 699.045318795686 505.759043662232 264.634466718576 -1248.9494928272 -2042.24885774259 -2346.05478806894 -2679.77282168409 -2931.33216417008 -3227.42135889386 -3637.33982791243 -3932.41184900066 -1730.3217030048 -1736.12906759817 -2016.28568281619 -2334.91614590988 -2574.25060406119 -2851.77704529263 -3214.20191708017 -3369.42520048074 8091.68267464556 77489.929474055 96730.0467515059 114696.112143012 125780.603062562 136823.73281772 149837.912918009 132313.785633054 -10888.8612489226 65537.2588011059 83099.4203366708 99856.6414577542 110561.582173537 121034.801928954 132469.898641618 113916.506744582 0.829819903166968 4.90744179379646 5.25123395482429 5.3355453531322 5.20279609370971 4.95493326202752 4.54555576223037 3.36143244226725 0.819790172921101 4.91870671724347 5.24176271122547 5.32927903832434 5.20759788284932 4.96074385004134 4.54820655197386 3.35448463548759 0.0 -8.881784197001252e-16 1.77635683940025e-15 0.0 0.0 -3.552713678800501e-15 7.105427357601002e-15 7.105427357601002e-15 -1.79457182922104 0.0 0.0 0.0 1.77635683940025e-15 0.0 3.552713678800501e-15 0.0
1732.03228609981 1514.11880752569 1323.89083314236 1114.59653173511 899.828177169396 686.467919406009 479.011056424106 208.724365779996 1623.52321507151 1413.12006851083 1247.40681941621 1064.30063044452 875.073751393283 686.043836933976 501.825037051528 264.725782893315 -2188.23434808599 -1801.02619423996 -2286.3101196904 -2610.269897225 -2884.10325683397 -3129.14770997839 -3405.34359919555 -3964.32015562521 -2440.38871576546 -1583.88257757932 -1992.59009397633 -2292.75231699394 -2548.44721358849 -2777.95910033232 -3019.99569616898 -3392.18683265036 104388.532146976 59238.6330406345 91174.1702902011 107634.46621389 120401.909895035 127238.32879214 130736.430496566 139035.529307034 69071.2996311722 51922.919072371 79357.6860732744 94478.2458674493 106491.718022131 113088.16214262 115983.263649888 119755.656638007 6.10819255780341 4.28262955369961 5.0691569359709 5.14008059298301 5.06348631934784 4.75239242890622 4.23191673952185 3.50191372565173 3.67292885164849 4.28325671289711 5.05972537885927 5.13522562360714 5.06831430409942 4.75800568482538 4.23392106002184 3.49648017564513 0.0 0.0 0.0 1.77635683940025e-15 -3.552713678800501e-15 0.0 -3.552713678800501e-15 7.105427357601002e-15 0.0 0.0 0.0 0.0 0.0 0.0 -3.552713678800501e-15 0.0
1674.1530461124 1495.16463704541 1296.5718171857 1091.79888933859 882.294215970143 674.127032437147 467.697700397031 204.80771766495 1587.0485156946 1399.02686966354 1227.34500398284 1047.08323895055 861.36424795519 676.025623914283 492.116521057752 261.364220581496 -1129.06752153977 -2046.9965188013 -2239.73736076546 -2556.82082597381 -2803.76284958709 -3068.1993982662 -3421.49501583772 -3790.41965601102 -1497.8439515445 -1760.00658324298 -1960.93126362258 -2260.40920523447 -2491.37368812302 -2735.26739648535 -3041.0221707049 -3240.01205407361 -10848.6673691673 76645.2752085887 86059.0637084236 102192.765476217 112689.818182473 121207.938963457 130419.663096088 122863.055700926 -45624.6039217588 65267.6468393703 75320.2283132417 90296.3886729393 100233.064390053 108181.093284688 115944.267930749 105640.124381358 1.23442087883419 4.81789968182527 4.89866190757704 4.98453116731069 4.87749389661149 4.6223021449456 4.21100309895262 3.24617721969851 3.94032098585385 4.82928658647482 4.89177925874063 4.98054031889173 4.88227204205054 4.62772339161765 4.21282166672967 3.23826048849109 -1.74554888249957 -8.881784197001252e-16 0.0 0.0 1.77635683940025e-15 0.0 0.0 -7.105427357601002e-15 -7.75246761954405 0.0 0.0 0.0 0.0 0.0 0.0 0.0
